ПЭ-2М 223;12.09.2023 04:51:45;Заброшенное кладбище;21 км/ч;114262 км
ПЭ-2у 094;12.09.2023 04:56:17;Алмалыксай;16 км/ч;96412 км
ПЭ-2М 171;12.09.2023 05:00:03;Заброшенное кладбище;18 км/ч;101835 км
ПЭ-2М 251;12.09.2023 05:20:59;Алмалыксай;16 км/ч;21954 км
ПЭ-2у 095;12.09.2023 05:35:51;Заброшенное кладбище;12 км/ч;103629 км
ПЭ-2у 120;12.09.2023 05:36:53;Заброшенное кладбище;18 км/ч;111205 км
ПЭ-2М 319;12.09.2023 05:36:55;Заброшенное кладбище;18 км/ч;85453 км
ПЭ-2у 143;12.09.2023 05:37:53;Алмалыксай;14 км/ч;95492 км
ПЭ-2у 166;12.09.2023 05:46:46;Алмалыксай;16 км/ч;129092 км
ПЭ-2М 356;12.09.2023 05:57:31;Заброшенное кладбище;19 км/ч;23256 км
АДМ 1628;12.09.2023 05:58:23;Заброшенное кладбище;23 км/ч;48710 км
ПЭ-2м 340;12.09.2023 06:01:17;Заброшенное кладбище;15 км/ч;96161 км
ТЭМ2 2740;12.09.2023 06:04:31;Алмалыксай;22 км/ч;94909 км
ПЭ-2М 387;12.09.2023 06:16:39;Алмалыксай;13 км/ч;97821 км
ПЭ-2у 068;12.09.2023 06:20:13;Заброшенное кладбище;19 км/ч;105300 км
ПЭ-2м 340;12.09.2023 06:22:01;Заброшенное кладбище;22 км/ч;96162 км
ПЭ-2у 089;12.09.2023 06:25:37;Алмалыксай;16 км/ч;98273 км
ПЭ-2у 095;12.09.2023 06:29:21;Алмалыксай;11 км/ч;103636 км
ПЭ-2м 439;12.09.2023 06:32:21;Алмалыксай;18 км/ч;99405 км
ПЭ-2М 223;12.09.2023 06:34:08;Алмалыксай;14 км/ч;114274 км
ПЭ-2у 353 (111);12.09.2023 06:43:40;Алмалыксай;17 км/ч;101326 км
ПЭ-2у 094;12.09.2023 06:45:48;Заброшенное кладбище;19 км/ч;96423 км
ПЭ-2м 439;12.09.2023 07:29:10;Заброшенное кладбище;17 км/ч;99407 км
ПЭ-2М 299;12.09.2023 07:29:26;Заброшенное кладбище;19 км/ч;90768 км
ПЭ-2м 361;12.09.2023 07:40:08;Заброшенное кладбище;14 км/ч;98546 км
ПЭ-2у 094;12.09.2023 07:48:22;Заброшенное кладбище;16 км/ч;96431 км
ПЭ-2М 171;12.09.2023 07:49:26;Алмалыксай;17 км/ч;101848 км
ПЭ-2у 102;12.09.2023 07:52:42;Заброшенное кладбище;19 км/ч;99719 км
МСШУ - 5 50;12.09.2023 07:55:14;Заброшенное кладбище;12 км/ч;20692 км
ПЭ-2м 439;12.09.2023 08:03:07;Алмалыксай;19 км/ч;99413 км
ПЭ-2м 421;12.09.2023 08:12:19;Заброшенное кладбище;19 км/ч;91731 км
ПЭ-2у 117;12.09.2023 08:12:59;Алмалыксай;18 км/ч;98306 км
ПЭ-2у 120;12.09.2023 08:21:45;Алмалыксай;13 км/ч;111217 км
ПЭ-2м 361;12.09.2023 08:27:00;Алмалыксай;19 км/ч;98548 км
ПЭ-2у 074;12.09.2023 08:41:16;Заброшенное кладбище;16 км/ч;94669 км
ПЭ-2м 291;12.09.2023 08:42:58;Алмалыксай;15 км/ч;85444 км
ПЭ-2у 074;12.09.2023 08:49:26;Алмалыксай;16 км/ч;94669 км
ПЭ-2у 074;12.09.2023 08:49:52;Заброшенное кладбище;16 км/ч;94669 км
ПЭ-2м 361;12.09.2023 08:50:24;Заброшенное кладбище;18 км/ч;98552 км
ТЭМ2 2740;12.09.2023 09:18:00;Заброшенное кладбище;20 км/ч;94912 км
ПЭ-2м 361;12.09.2023 09:29:37;Алмалыксай;13 км/ч;98554 км
ПЭ-2у 102;12.09.2023 09:34:45;Алмалыксай;19 км/ч;99721 км
ПЭ-2М 434;12.09.2023 09:55:31;Заброшенное кладбище;18 км/ч;103729 км
